noise_level,model_kind,test_ic,test_icir,test_mae,param_count
0.0,concat_a,-0.04027503027757504,-0.14907096450316748,0.00776372326618863,45266
0.0,film_a,-0.047323390894819455,-0.17074850765080618,0.00754058009218627,45330
0.1,concat_a,-0.007013764310412832,-0.026479917668008997,0.007214092171273279,45266
0.1,film_a,-0.046773940345368914,-0.1976722171757677,0.00970351347713898,45330
0.3,concat_a,-0.03978022883971037,-0.15529256814258063,0.007688888256505782,45266
0.3,film_a,-0.02615384615384616,-0.11851994950830703,0.008916565101469006,45330
0.5,concat_a,-0.020596546310832024,-0.09671145253013207,0.00719361019772074,45266
0.5,film_a,0.002629513343799059,0.013418634490250518,0.008142606351304833,45330
1.0,concat_a,-0.03104395604395604,-0.13226763582398227,0.007185925810185627,45266
1.0,film_a,0.03965463108320252,0.2076704668190701,0.0074316303133737304,45330
2.0,concat_a,-0.04088697017268446,-0.17692493003651605,0.00718666955017873,45266
2.0,film_a,0.014450549450549448,0.06933218698181483,0.008167697092590966,45330
5.0,concat_a,0.01859497645211931,0.1039604144696149,0.007440848288944756,45266
5.0,film_a,0.01623233908948195,0.07734294517348343,0.007753666158977889,45330
