model_kind,model_label,term,coef,t_value,p_value,index_symbol,indexret_spec,horizon
model0,Model 0,const,0.0011331301289566166,2.1871514120355267,0.028731472526479916,^GSPC,ret5,5
model1,Model 1,const,0.0019220993837931384,2.5669901241168347,0.010258553409573892,^GSPC,ret5,5
model1,Model 1,bear,-0.0011172290140238226,-0.6552746058730082,0.5122909675073377,^GSPC,ret5,5
model1,Model 1,intensity,-0.001097251017919007,-0.663544393479289,0.5069819572854604,^GSPC,ret5,5
model2,Model 2,const,0.0012244178292535259,1.7413609292683645,0.08162033226447088,^GSPC,ret5,5
model2,Model 2,bear,0.004673363982205541,1.1837720726166163,0.23650330009946385,^GSPC,ret5,5
model2,Model 2,intensity,0.0006171803213345566,0.39378363217698137,0.6937407897165694,^GSPC,ret5,5
model2,Model 2,bear_x_intensity,-0.00900184748587239,-1.6836658271480525,0.09224626912405781,^GSPC,ret5,5
model3,Model 3,const,0.003934972624508984,2.260914519776106,0.02376455082798875,^GSPC,ret5,5
model3,Model 3,position,-0.03870437862885253,-1.7623877135243196,0.07800381309112862,^GSPC,ret5,5
model3,Model 3,intensity,-0.004130289771453128,-1.6915578377706584,0.0907303112050842,^GSPC,ret5,5
model3,Model 3,position_x_intensity,0.07687124589327024,2.2915021568160285,0.021934387272135567,^GSPC,ret5,5
model4,Model 4,const,0.002982657127792925,1.7313338478501756,0.08339223779031178,^GSPC,ret5,5
model4,Model 4,position,-0.016001487261896513,-0.7045699818620572,0.4810778848072117,^GSPC,ret5,5
model4,Model 4,intensity,-0.0029406316083886285,-1.2211038273463029,0.22204671076580984,^GSPC,ret5,5
model4,Model 4,position_x_intensity,0.05757003458917741,1.6943394347672067,0.09020080112207707,^GSPC,ret5,5
model4,Model 4,indexret,-1.116551626552478,-4.554135022098406,5.2601563768074776e-06,^GSPC,ret5,5
model4,Model 4,intensity_x_indexret,0.8883548013523087,2.583358068933994,0.009784371599904026,^GSPC,ret5,5
model2_vix,Model 2V,const,0.001393116865539262,1.954210581732938,0.05067631840957483,^GSPC,ret5,5
model2_vix,Model 2V,bear,0.0042376295340839365,1.0483334537623996,0.2944850016138344,^GSPC,ret5,5
model2_vix,Model 2V,vix_proxy,0.00019975369636536175,0.12557699440404552,0.9000667745770792,^GSPC,ret5,5
model2_vix,Model 2V,bear_x_vix,-0.00827277315956838,-1.4998411332003065,0.13365555953306318,^GSPC,ret5,5
