epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,train_align_corr,train_geom_lambda,train_geom_qk,train_geom_attn,train_ord_lambda,train_ord_loss,val_ic,val_icir,val_mae
1,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,,0.0,,,0.0,,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
1,7,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,1,-0.04597794751663177,0.4682614440834496,0.0,,,0.0,,-0.011593406593406592,-0.043703345803951674,0.007388766105266081
1,7,static,^GSPC,2022-01-01,2024-12-31,1,0.0038818247020101946,,0.0,,,0.0,,0.03018053375196232,0.12793447558139,0.009080647904593855
1,7,tau_rope,^GSPC,2022-01-01,2024-12-31,1,0.0029756509290735037,,0.0,,,0.0,,-0.048775510204081635,-0.21002040458194932,0.017814608377292162
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,1,0.0008749036636933097,,0.0,,,0.0,,-0.033437990580847725,-0.15512599684419798,0.007373644537303465
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,2,0.00025179703144078433,,0.0,,,0.01,,-0.02834379905808477,-0.13090348130501728,0.008064239325060545
3,7,concat_a,^GSPC,2022-01-01,2024-12-31,3,0.00018379679009831903,,0.0,,,0.01,,-0.027590266875981165,-0.11865806529790023,0.007653371957816656
3,7,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,1,-0.04597794751663177,0.4682614440834496,0.0,,,0.0,,-0.011593406593406592,-0.043703345803951674,0.007388766105266081
3,7,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,2,-0.050870062498216816,0.5110544987110914,0.0,,,0.01,0.0019999682359169166,0.008720565149136576,0.037467777400642076,0.007359371080615904
3,7,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,3,-0.05176800716758035,0.5195483400993848,0.0,,,0.01,0.001999970067504394,0.00552583019283512,0.023014594109804047,0.007656476897613899
3,7,static,^GSPC,2022-01-01,2024-12-31,1,0.0038818247020101946,,0.0,,,0.0,,0.03018053375196232,0.12793447558139,0.009080647904593855
3,7,static,^GSPC,2022-01-01,2024-12-31,2,0.0005297355938252444,,0.0,,,0.01,,0.028390894819466248,0.12136815884358171,0.0074202976267511355
3,7,static,^GSPC,2022-01-01,2024-12-31,3,0.00036413133669393934,,0.0,,,0.01,,0.02488942891840076,0.10930142900530469,0.007452498265655294
3,7,tau_rope,^GSPC,2022-01-01,2024-12-31,1,0.0029756509290735037,,0.0,,,0.0,,-0.048775510204081635,-0.21002040458194932,0.017814608377292162
3,7,tau_rope,^GSPC,2022-01-01,2024-12-31,2,0.0004474589471599287,,0.0,,,0.01,,-0.028061224489795922,-0.1151744754774867,0.007553922342063947
3,7,tau_rope,^GSPC,2022-01-01,2024-12-31,3,0.00022589309364063075,,0.0,,,0.01,,-0.05639717425431712,-0.22559069855217292,0.007351118023973645
