market,model_kind,regime,regime_label,n_obs,n_dates,ic_mean,icir,mae_mean
GSPC,concat_a,2,Bull/quiet,475,19,0.06396761133603238,0.2497213729300166,0.008073273182055389
GSPC,static,2,Bull/quiet,475,19,0.02331983805668017,0.10742462511055687,0.00802234953068311
GSPC,tau_rope,2,Bull/quiet,475,19,0.029068825910931177,0.12409500997197802,0.008004038351251675
GSPC,concat_a,3,Bull/volatile,1975,79,0.07312126166647123,0.26596604438772237,0.007080736517178353
GSPC,static,3,Bull/volatile,1975,79,-0.019785783836416753,-0.07940292212884201,0.007047181836537308
GSPC,tau_rope,3,Bull/volatile,1975,79,0.07475170399221033,0.2985424904086024,0.007019076412080715
IXIC,concat_a,2,Bull/quiet,475,19,0.038866396761133605,0.13492474189313214,0.008034912494886583
IXIC,static,2,Bull/quiet,475,19,0.02331983805668017,0.10742462511055687,0.00802234953068311
IXIC,tau_rope,2,Bull/quiet,475,19,0.028097165991902835,0.12052670046384048,0.008007847432152005
IXIC,concat_a,3,Bull/volatile,1975,79,0.053875365141187924,0.1934889547206137,0.00703322552974773
IXIC,static,3,Bull/volatile,1975,79,-0.019785783836416753,-0.07940292212884201,0.007047181836537308
IXIC,tau_rope,3,Bull/volatile,1975,79,0.07837390457643623,0.3121396413277431,0.00702199251639422
