seed,model_kind,vs,t,p,n
7,econ_time,concat_a,-0.02935312695356333,0.9766432649489267,98
7,econ_time:pe_only,concat_a,-0.21593386611201754,0.8294927281001611,98
7,econ_time:qk_only,concat_a,-0.5735788802016253,0.5675803077336921,98
7,static,concat_a,-2.600533036593069,0.010763103277355296,98
17,econ_time,concat_a,-0.3316832537975015,0.7408440198771702,98
17,econ_time:pe_only,concat_a,-0.4043424827293309,0.6868510589439789,98
17,econ_time:qk_only,concat_a,-0.16704969185328591,0.8676787016076186,98
17,static,concat_a,-2.2774947255643787,0.02495241603362801,98
27,econ_time,concat_a,-0.6964519347125219,0.4878114156626725,98
27,econ_time:pe_only,concat_a,-0.4387844993704177,0.6617934867228317,98
27,econ_time:qk_only,concat_a,-0.3413805729884574,0.7335555029799994,98
27,static,concat_a,0.3178558422156708,0.751277551416669,98
7,econ_time,static,1.950771932095482,0.05396991950786856,98
7,econ_time:pe_only,static,1.6927303682043777,0.09371644004663526,98
7,econ_time:qk_only,static,1.2290038323572023,0.22204352317631204,98
17,econ_time,static,1.1084272979035583,0.2704180956711685,98
17,econ_time:pe_only,static,1.0774355513933833,0.28395797377544957,98
17,econ_time:qk_only,static,1.3397791049541898,0.18344751996514078,98
27,econ_time,static,-0.9476523044495678,0.3456614013892495,98
27,econ_time:pe_only,static,-0.7978273695133367,0.42691951462090827,98
27,econ_time:qk_only,static,-0.7769798389419968,0.4390613727330881,98
