ic,icir,mae,swap_delta,gate_mean,attn_entropy,pe_mode,index_symbol,start,end,seed
-0.01736186348862404,-0.06414746618849212,0.009476155072995256,0.0,0.3901325313390141,3.4011959470829494,static,^GSPC,2020-01-01,2024-12-31,7
0.011224268689057423,0.04479723408200892,0.009167025826825739,0.0010890466163695697,0.16411394206570906,3.4011961047750123,concat_a,^GSPC,2020-01-01,2024-12-31,7
0.01936078006500542,0.07266835536878588,0.00846607365437535,0.0003126043375109283,0.36172292096514097,3.401196173211219,flow_pe,^GSPC,2020-01-01,2024-12-31,7
-0.020980498374864577,-0.07723542425296048,0.00884181833067149,0.0,0.30260576153305213,3.401196855222675,static,^GSPC,2020-01-01,2024-12-31,17
0.04321776814734561,0.16571089998687996,0.007607407025917193,0.005957220318451734,0.34369542089146626,3.4011968326568605,concat_a,^GSPC,2020-01-01,2024-12-31,17
0.0025081256771397587,0.010253422576892175,0.007885122591530992,7.301948334969265e-05,0.25896788547576316,3.40119230787519,flow_pe,^GSPC,2020-01-01,2024-12-31,17
0.0036130536130536094,0.014958077506180983,0.03342698678749433,0.0,0.41555516190601116,3.401196378361095,static,^GSPC,2022-01-01,2024-12-31,7
0.03681818181818182,0.14311662707818604,0.008552846399010976,0.003598822689417637,0.24303669542977305,3.401196078242678,concat_a,^GSPC,2022-01-01,2024-12-31,7
0.027599067599067596,0.1042283155496104,0.027401472263854507,0.00028526242032195584,0.40249098275647016,3.4011962892069962,flow_pe,^GSPC,2022-01-01,2024-12-31,7
0.01068764568764569,0.04026840735747817,0.014470681261748922,0.0,0.3481602269591707,3.4011968950791793,static,^GSPC,2022-01-01,2024-12-31,17
0.035174825174825175,0.1476778973032363,0.024039369443010255,0.012272377361853918,0.3542119110533685,3.401196754917954,concat_a,^GSPC,2022-01-01,2024-12-31,17
0.023729603729603727,0.08919025458126499,0.010682693883704021,0.0014238063296811148,0.3897216087399107,3.4011931240197386,flow_pe,^GSPC,2022-01-01,2024-12-31,17
-0.01736186348862404,-0.06414746618849212,0.009476155072995256,0.0,0.3901325313390141,3.4011959470829494,static,^IXIC,2020-01-01,2024-12-31,7
0.012971210599023023,0.04972256224716456,0.00922194872220059,0.0011739276181644118,0.16347881831333672,3.401196116528041,concat_a,^IXIC,2020-01-01,2024-12-31,7
0.019176598049837495,0.07186069591233468,0.008500747033086365,0.0003423234683946824,0.361626741919719,3.4011961618611513,flow_pe,^IXIC,2020-01-01,2024-12-31,7
-0.020980498374864577,-0.07723542425296048,0.00884181833067149,0.0,0.30260576153305213,3.401196855222675,static,^IXIC,2020-01-01,2024-12-31,17
0.04265980498374865,0.16172177294353773,0.008261013198663346,0.007023467236841228,0.3446854205366591,3.4011968418578027,concat_a,^IXIC,2020-01-01,2024-12-31,17
0.003196099674972914,0.013068240440636394,0.007865263100824735,7.872697805434885e-05,0.2590915187983446,3.401192337089861,flow_pe,^IXIC,2020-01-01,2024-12-31,17
