pe_mode,regime_label,n,crps_mean,pi80_mean,pi80_width_mean,mae_mean
concat_a,Bear/quiet,950,0.003069997698583297,0.8557894736842105,0.03187517566508368,0.008082876335584412
concat_a,Bear/volatile,6525,0.003563618318497121,0.8366283524904214,0.034423570731990184,0.009050129487159072
concat_a,Bull/quiet,15725,0.0031475282061011463,0.8407631160572338,0.03400951105088517,0.008038889631988486
concat_a,Bull/volatile,8100,0.0031365279422715065,0.8397530864197531,0.03476232445580356,0.007899814128817908
flow_pe,Bear/quiet,950,0.0029948072943003163,0.8778947368421053,0.036874491827268346,0.008019021904451381
flow_pe,Bear/volatile,6525,0.003709228178361338,0.7888122605363984,0.038747076078164626,0.00973642038649793
flow_pe,Bull/quiet,15725,0.003483759839948717,0.9063275039745627,0.046352151090394714,0.009120572091137567
flow_pe,Bull/volatile,8100,0.0035564678224208938,0.8481481481481481,0.043326977365592746,0.009422348401070516
static,Bear/quiet,950,0.002901649112984734,0.7905263157894736,0.026250232785548035,0.00848697618201473
static,Bear/volatile,6525,0.0035112096277115533,0.7875862068965517,0.03085816883806753,0.009487281043698012
static,Bull/quiet,15725,0.0031101580497117295,0.8676629570747217,0.03362370765704324,0.00899948890219845
static,Bull/volatile,8100,0.00317196973275399,0.8803703703703704,0.03614193763376938,0.008325640269232248
